iter	Passed	Remaining
298	10334	24227
299	10378	24216
300	10425	24210
301	10474	24208
302	10527	24216
303	10568	24195
304	10623	24207
305	10659	24175
306	10692	24135
307	10727	24102
308	10776	24098
309	10827	24098
310	10871	24085
311	10930	24103
312	11005	24156
313	11059	24162
314	11100	24138
315	11127	24085
316	11157	24038
317	11186	23990
318	11213	23939
319	11241	23887
320	11265	23828
321	11303	23800
322	11341	23771
323	11380	23743
324	11427	23733
325	11473	23721
326	11519	23708
327	11562	23688
328	11605	23669
329	11662	23678
330	11721	23690
331	11766	23675
332	11813	23662
333	11870	23670
334	11912	23646
335	11958	23632
336	12001	23611
337	12043	23588
338	12090	23574
339	12132	23551
340	12169	23517
341	12201	23475
342	12267	23498
343	12316	23486
344	12361	23468
345	12404	23446
346	12448	23426
347	12492	23406
348	12546	23403
349	12595	23391
350	12635	23362
351	12679	23341
352	12720	23314
353	12768	23299
354	12813	23281
355	12919	23371
356	13026	23462
357	13127	23541
358	13230	23622
359	13327	23693
360	13385	23693
361	13430	23670
362	13483	23661
363	13553	23681
364	13614	23685
365	13643	23634
366	13675	23587
367	13710	23545
368	13758	23527
369	13798	23495
370	13848	23478
371	13885	23441
372	13931	23418
373	13980	23400
374	14017	23362
375	14058	23331
376	14098	23298
377	14185	23342
378	14275	23391
379	14380	23463
380	14489	23540
381	14534	23514
382	14659	23615
383	14758	23675
384	14846	23716
385	14937	23761
386	15033	23812
387	15078	23783
388	15123	23753
389	15167	23724
390	15214	23696
391	15259	23668
392	15305	23639
393	15357	23621
394	15403	23592
395	15441	23552
396	15467	23494
397	15494	23436
398	15531	23394
399	15570	23355
400	15606	23312
401	15633	23255
402	15660	23199
